order_id,discount_amount
1,352
2,84
3,465
4,73
5,167
6,312
7,188
8,118
9,281
10,65
11,479
12,483
13,116
14,107
15,411
16,103
17,498
18,146
19,342
20,129
21,162
22,386
23,145
24,469
25,267
26,477
27,53
28,315
29,210
30,11
31,363
32,467
33,387
34,339
35,0
36,221
37,341
38,435
39,91
40,497
41,416
42,254
43,470
44,84
45,227
46,465
47,378
48,133
49,139
50,69
51,265
52,174
53,330
54,221
55,160
56,422
57,42
58,319
59,151
60,424
61,63
62,63
63,159
64,274
65,168
66,261
67,112
68,476
69,463
70,104
71,490
72,338
73,458
74,168
75,153
76,196
77,433
78,82
79,369
80,214
81,46
82,13
83,21
84,80
85,246
86,465
87,94
88,112
89,305
90,51
91,142
92,158
93,10
94,469
95,260
96,391
97,182
98,315
99,468
100,98
101,297
102,35
103,114
104,184
105,382
106,141
107,250
108,267
109,436
110,365
111,322
112,149
113,81
114,122
115,94
116,382
117,418
118,189
119,475
120,85
121,243
122,60
123,227
124,243
125,476
126,354
127,347
128,202
129,136
130,203
131,209
132,155
133,409
134,470
135,164
136,398
137,387
138,92
139,84
140,456
141,299
142,227
143,264
144,183
145,145
146,499
147,110
148,60
149,372
150,160
151,354
152,339
153,155
154,479
155,436
156,50
157,336
158,219
159,490
160,380
161,366
162,463
163,282
164,37
165,408
166,375
167,184
168,168
169,436
170,166
171,147
172,300
173,148
174,63
175,149
176,321
177,452
178,220
179,373
180,146
181,68
182,400
183,125
184,334
185,59
186,184
187,300
188,419
189,295
190,254
191,238
192,61
193,288
194,323
195,309
196,190
197,331
198,136
199,290
200,33
201,494
202,220
203,25
204,67
205,1
206,482
207,392
208,239
209,345
210,283
211,121
212,413
213,473
214,252
215,333
216,266
217,445
218,144
219,79
220,458
221,332
222,225
223,128
224,158
225,259
226,465
227,192
228,294
229,122
230,67
231,158
232,277
233,26
234,351
235,10
236,325
237,417
238,36
239,137
240,372
241,238
242,384
243,231
244,55
245,491
246,109
247,69
248,266
249,244
250,259
251,39
252,461
253,37
254,144
255,281
256,235
257,379
258,302
259,391
260,427
261,128
262,440
263,398
264,55
265,311
266,180
267,206
268,225
269,238
270,309
271,444
272,252
273,0
274,142
275,254
276,316
277,322
278,99
279,351
280,295
281,71
282,263
283,144
284,450
285,189
286,69
287,486
288,178
289,58
290,115
291,463
292,398
293,360
294,77
295,396
296,229
297,11
298,79
299,223
300,110
301,497
302,418
303,262
304,106
305,197
306,250
307,213
308,363
309,172
310,198
311,328
312,396
313,366
314,430
315,338
316,263
317,413
318,444
319,338
320,73
321,302
322,470
323,212
324,353
325,431
326,119
327,88
328,457
329,204
330,471
331,249
332,301
333,164
334,382
335,471
336,423
337,293
338,390
339,43
340,186
341,118
342,257
343,339
344,157
345,378
346,48
347,183
348,45
349,8
350,290
351,29
352,256
353,207
354,275
355,260
356,327
357,385
358,392
359,410
360,296
361,345
362,288
363,70
364,352
365,263
366,244
367,38
368,209
369,157
370,498
371,230
372,3
373,458
374,178
375,91
376,400
377,177
378,377
379,363
380,366
381,42
382,70
383,8
384,159
385,25
386,418
387,374
388,438
389,225
390,480
391,364
392,326
393,261
394,447
395,116
396,101
397,94
398,24
399,174
400,20
401,22
402,128
403,453
404,22
405,155
406,487
407,229
408,281
409,112
410,484
411,64
412,45
413,38
414,185
415,52
416,308
417,288
418,453
419,207
420,389
421,161
422,448
423,437
424,53
425,437
426,140
427,336
428,118
429,96
430,33
431,307
432,183
433,374
434,464
435,54
436,105
437,268
438,341
439,266
440,81
441,78
442,455
443,254
444,340
445,29
446,268
447,63
448,135
449,70
450,338
451,319
452,64
453,234
454,428
455,325
456,116
457,459
458,495
459,344
460,381
461,418
462,270
463,187
464,358
465,472
466,234
467,33
468,280
469,3
470,297
471,414
472,359
473,406
474,181
475,358
476,361
477,96
478,347
479,347
480,82
481,481
482,118
483,164
484,364
485,262
486,115
487,166
488,493
489,240
490,226
491,159
492,62
493,377
494,303
495,446
496,34
497,327
498,42
499,404
500,369
