order_id,shipping_cost
1,140
2,228
3,72
4,52
5,241
6,155
7,178
8,142
9,153
10,55
11,250
12,230
13,59
14,144
15,147
16,61
17,148
18,90
19,269
20,126
21,137
22,285
23,239
24,154
25,180
26,200
27,132
28,271
29,283
30,276
31,97
32,79
33,172
34,145
35,276
36,130
37,169
38,177
39,163
40,177
41,179
42,125
43,51
44,230
45,270
46,163
47,114
48,253
49,279
50,256
51,157
52,240
53,126
54,98
55,86
56,99
57,64
58,123
59,199
60,165
61,210
62,121
63,178
64,224
65,74
66,130
67,215
68,194
69,230
70,118
71,142
72,268
73,152
74,57
75,238
76,59
77,212
78,113
79,116
80,118
81,171
82,191
83,244
84,269
85,149
86,178
87,84
88,248
89,66
90,215
91,67
92,216
93,177
94,132
95,64
96,215
97,240
98,178
99,283
100,211
101,227
102,255
103,149
104,209
105,235
106,236
107,174
108,251
109,126
110,78
111,254
112,103
113,236
114,209
115,272
116,63
117,283
118,88
119,141
120,137
121,287
122,173
123,109
124,168
125,297
126,224
127,112
128,264
129,239
130,89
131,121
132,180
133,237
134,75
135,235
136,82
137,175
138,208
139,230
140,166
141,141
142,219
143,256
144,235
145,166
146,223
147,291
148,135
149,75
150,123
151,252
152,184
153,52
154,80
155,127
156,256
157,141
158,146
159,92
160,68
161,261
162,267
163,266
164,234
165,220
166,182
167,189
168,74
169,292
170,200
171,166
172,184
173,182
174,257
175,206
176,103
177,208
178,153
179,162
180,288
181,71
182,205
183,183
184,213
185,250
186,132
187,288
188,98
189,286
190,279
191,229
192,144
193,74
194,254
195,156
196,218
197,285
198,263
199,206
200,218
201,225
202,201
203,206
204,262
205,139
206,215
207,55
208,290
209,73
210,163
211,246
212,198
213,191
214,234
215,79
216,164
217,206
218,292
219,269
220,232
221,206
222,241
223,281
224,259
225,110
226,247
227,261
228,250
229,129
230,150
231,226
232,102
233,142
234,142
235,146
236,156
237,279
238,107
239,272
240,89
241,140
242,128
243,111
244,156
245,288
246,107
247,183
248,254
249,203
250,257
251,172
252,143
253,87
254,222
255,238
256,193
257,142
258,91
259,113
260,57
261,180
262,224
263,125
264,230
265,116
266,203
267,278
268,290
269,289
270,215
271,181
272,75
273,169
274,134
275,168
276,242
277,178
278,102
279,131
280,224
281,277
282,262
283,195
284,104
285,177
286,213
287,128
288,110
289,228
290,150
291,224
292,164
293,156
294,280
295,201
296,243
297,50
298,82
299,190
300,154
301,140
302,125
303,151
304,164
305,75
306,233
307,119
308,55
309,64
310,265
311,52
312,141
313,114
314,298
315,277
316,276
317,137
318,236
319,74
320,165
321,223
322,64
323,127
324,295
325,290
326,264
327,82
328,141
329,250
330,291
331,155
332,216
333,261
334,198
335,202
336,249
337,205
338,215
339,283
340,273
341,151
342,260
343,66
344,104
345,274
346,296
347,102
348,295
349,251
350,55
351,160
352,116
353,258
354,280
355,299
356,272
357,159
358,228
359,162
360,52
361,139
362,82
363,185
364,267
365,135
366,214
367,116
368,299
369,123
370,61
371,213
372,220
373,217
374,102
375,165
376,271
377,262
378,198
379,251
380,185
381,230
382,288
383,247
384,235
385,240
386,139
387,297
388,261
389,194
390,206
391,223
392,132
393,259
394,294
395,174
396,246
397,117
398,239
399,155
400,133
401,247
402,216
403,252
404,113
405,122
406,62
407,155
408,212
409,74
410,261
411,277
412,212
413,72
414,267
415,218
416,137
417,280
418,253
419,127
420,216
421,253
422,71
423,193
424,233
425,246
426,260
427,246
428,61
429,285
430,214
431,235
432,77
433,257
434,179
435,190
436,179
437,186
438,267
439,241
440,268
441,152
442,193
443,293
444,135
445,258
446,173
447,134
448,205
449,271
450,185
451,64
452,125
453,62
454,111
455,155
456,70
457,215
458,112
459,244
460,211
461,107
462,252
463,250
464,55
465,176
466,177
467,50
468,52
469,283
470,182
471,287
472,114
473,235
474,85
475,208
476,182
477,174
478,125
479,286
480,130
481,64
482,52
483,230
484,291
485,104
486,193
487,274
488,266
489,169
490,178
491,109
492,240
493,51
494,269
495,117
496,297
497,161
498,174
499,131
500,219
