order_id,customer_id,product_id,revenue
1,88,12,744
2,95,13,2476
3,97,12,2728
4,87,4,1223
5,14,13,1344
6,10,16,1244
7,8,20,855
8,64,14,2866
9,62,2,2577
10,23,5,1846
11,58,8,1556
12,2,4,749
13,1,3,2480
14,61,3,2544
15,82,11,2897
16,9,15,1423
17,89,19,1489
18,14,7,2864
19,48,7,1621
20,73,17,1002
21,31,18,1335
22,72,6,1858
23,4,7,1331
24,71,9,2967
25,22,9,656
26,50,6,2209
27,58,6,1616
28,4,8,1964
29,69,15,1319
30,25,6,2243
31,44,10,1471
32,77,15,531
33,27,2,1240
34,53,20,2984
35,81,14,2330
36,42,12,2119
37,83,15,1379
38,16,10,574
39,65,4,1422
40,69,4,2264
41,26,4,685
42,99,2,2647
43,88,4,1972
44,8,17,2330
45,27,6,1414
46,26,1,1491
47,23,6,2589
48,10,19,1363
49,68,15,2349
50,24,8,1182
51,28,7,2472
52,38,11,2100
53,58,1,1466
54,84,15,2703
55,39,19,2804
56,9,5,1514
57,33,8,1262
58,35,8,526
59,11,11,2905
60,24,13,2012
61,16,18,1456
62,88,8,753
63,26,8,966
64,72,20,1242
65,93,20,2863
66,75,1,1893
67,63,13,2022
68,47,7,1163
69,33,20,2233
70,89,1,2737
71,24,6,1867
72,56,10,1974
73,66,13,2311
74,78,14,1259
75,4,7,1729
76,1,19,2412
77,78,19,2279
78,7,18,1940
79,53,3,2440
80,86,20,1592
81,71,14,2118
82,3,12,810
83,77,20,2931
84,92,16,2257
85,22,8,1214
86,76,17,1362
87,8,20,895
88,78,12,1438
89,73,20,1918
90,76,16,1740
91,77,7,1548
92,44,12,1976
93,21,6,2255
94,31,2,1133
95,37,16,2689
96,8,20,502
97,46,3,2871
98,69,14,2897
99,58,20,734
100,83,11,1680
101,97,14,2583
102,14,8,2906
103,11,19,1729
104,24,9,674
105,82,13,578
106,8,17,1117
107,25,18,1743
108,75,12,1348
109,93,7,2696
110,21,1,2810
111,33,17,1289
112,13,2,2484
113,66,19,2638
114,95,8,509
115,61,15,1360
116,25,5,1097
117,83,1,1557
118,98,2,621
119,3,17,1916
120,93,3,2343
121,99,5,533
122,11,4,2523
123,55,17,2162
124,97,19,1367
125,83,2,2043
126,87,12,1327
127,71,12,1949
128,67,13,2343
129,72,5,1820
130,49,14,1390
131,55,1,1368
132,16,9,2386
133,6,8,1149
134,18,8,546
135,43,2,1133
136,21,8,1070
137,49,3,2569
138,23,5,2474
139,14,6,1780
140,98,8,1159
141,54,19,647
142,85,13,2377
143,11,14,2575
144,97,1,2786
145,56,19,1246
146,62,8,2898
147,57,16,2231
148,90,10,1619
149,22,2,529
150,97,2,2907
151,84,14,778
152,26,7,1964
153,15,7,747
154,14,2,1310
155,85,2,1408
156,44,18,1094
157,7,19,1147
158,78,7,2684
159,57,12,1841
160,60,19,1814
161,16,4,2514
162,25,20,751
163,10,3,631
164,67,4,811
165,72,1,996
166,54,11,1464
167,70,1,2563
168,37,2,1630
169,22,6,621
170,41,1,1038
171,78,6,2536
172,92,15,2134
173,50,9,2785
174,48,12,2083
175,78,13,1000
176,41,17,1156
177,79,1,715
178,46,1,974
179,88,10,1474
180,17,15,2891
181,29,4,1709
182,46,5,1804
183,68,1,1451
184,67,14,2341
185,79,7,2952
186,47,20,2870
187,1,11,2514
188,30,1,2560
189,64,9,909
190,76,2,2645
191,36,7,2687
192,54,2,1870
193,94,20,2791
194,34,8,2288
195,3,14,1373
196,85,4,2211
197,84,16,1985
198,49,3,1491
199,55,16,1347
200,33,20,1324
201,29,1,2581
202,56,19,991
203,83,9,904
204,32,3,1093
205,29,1,2627
206,95,18,2423
207,75,15,675
208,9,20,1978
209,100,10,926
210,33,9,1928
211,9,15,1711
212,85,19,1450
213,78,5,2497
214,51,10,2274
215,80,1,2343
216,42,11,1469
217,65,2,1222
218,84,7,2156
219,25,6,2536
220,21,12,616
221,45,8,527
222,16,2,1449
223,31,10,779
224,92,8,930
225,15,6,795
226,20,7,1590
227,27,11,2881
228,87,8,1118
229,8,6,2702
230,100,7,2949
231,54,5,2478
232,48,3,1929
233,61,11,739
234,35,1,2053
235,33,17,2837
236,20,4,2975
237,68,15,1343
238,25,13,2038
239,84,17,2631
240,95,20,871
241,39,6,2603
242,48,18,2555
243,6,11,2482
244,80,12,659
245,64,15,1347
246,88,2,1442
247,33,9,2379
248,43,5,1722
249,75,8,2361
250,67,1,2640
251,89,16,854
252,99,2,1227
253,31,8,2761
254,18,2,2622
255,69,15,1129
256,65,14,1666
257,61,12,715
258,79,5,1525
259,18,13,2504
260,40,19,1215
261,36,6,2880
262,82,4,2787
263,29,13,2182
264,23,10,2610
265,39,4,1333
266,42,6,2832
267,75,2,1818
268,78,13,1703
269,71,10,1634
270,26,12,1874
271,49,1,2996
272,51,16,2005
273,63,9,808
274,45,7,2592
275,55,18,1028
276,1,19,2913
277,87,1,1775
278,17,7,2502
279,20,2,2520
280,10,17,1022
281,93,20,2651
282,52,1,815
283,11,11,2809
284,69,16,1067
285,24,2,798
286,15,2,2824
287,64,7,588
288,22,13,774
289,47,17,933
290,4,19,711
291,57,14,2691
292,89,14,2053
293,81,13,635
294,47,20,1392
295,55,8,2011
296,80,3,1579
297,72,16,1654
298,15,6,2680
299,78,7,786
300,16,1,2600
301,26,5,1480
302,54,3,2968
303,85,20,1878
304,59,15,1711
305,86,2,1254
306,30,1,1240
307,45,6,2708
308,38,8,2342
309,23,17,1831
310,92,19,1529
311,55,19,1813
312,77,1,2676
313,13,12,2067
314,60,10,2455
315,27,6,2074
316,77,2,2299
317,72,2,2482
318,88,20,2660
319,40,19,1452
320,44,18,1960
321,77,18,860
322,39,19,1311
323,92,8,766
324,70,19,2085
325,99,15,1286
326,34,13,1648
327,44,10,2686
328,27,5,2609
329,57,14,2938
330,70,20,2171
331,74,6,2432
332,53,1,2295
333,90,19,1575
334,28,2,2947
335,44,15,2435
336,2,10,2353
337,83,5,1031
338,95,20,2720
339,97,9,1585
340,27,14,2057
341,85,13,1388
342,31,15,884
343,65,18,1843
344,23,12,1480
345,99,9,1141
346,53,11,1505
347,4,19,2270
348,71,19,2752
349,13,6,522
350,40,16,642
351,84,11,908
352,49,15,1698
353,62,20,2746
354,71,10,1985
355,14,11,2547
356,37,14,2253
357,24,19,663
358,23,14,2707
359,67,2,1774
360,93,15,2331
