customer_id,support_cost
1,88
2,99
3,259
4,236
5,190
6,125
7,231
8,74
9,273
10,72
11,159
12,211
13,393
14,153
15,287
16,213
17,300
18,223
19,314
20,219
21,284
22,192
23,285
24,112
25,208
26,215
27,147
28,159
29,345
30,188
31,117
32,104
33,127
34,172
35,223
36,251
37,158
38,173
39,282
40,201
41,131
42,370
43,387
44,131
45,82
46,80
47,172
48,265
49,153
50,215
51,244
52,220
53,111
54,324
55,223
56,132
57,376
58,291
59,359
60,346
61,345
62,330
63,218
64,122
65,310
66,79
67,213
68,98
69,353
70,306
71,385
72,185
73,315
74,74
75,357
76,391
77,397
78,165
79,381
80,387
81,346
82,318
83,77
84,297
85,114
86,194
87,297
88,396
89,237
90,268
91,145
92,87
93,217
94,376
95,329
96,336
97,241
98,268
99,354
100,94
